Dates;SP1;US1;TY1;GC1;SPUS;SPTY;SPGC
07/10/2008;4.14081822408182;4.76535087719298;3.65288220551379;2.78305882352941;0.868942986737834;1.13357562360799;1.48786586509534
08/10/2008;4.03872617387262;4.66812865497076;3.58395989974938;2.84743529411765;0.865170279652012;1.12688933103159;1.41837329270168
09/10/2008;3.75671780567178;4.59868421052632;3.54010025062657;2.86509803921569;0.81691145416611;1.06118966687649;1.31120043860704
10/10/2008;3.66820083682008;4.60307017543859;3.54072681704261;2.66619607843137;0.796903087941857;1.03600221829143;1.37581810523787
13/10/2008;4.18568107856811;4.54093567251462;3.5;2.61349019607843;0.921766213052345;1.19590887959089;1.60156754551778
14/10/2008;4.12640632264063;4.52997076023392;3.4968671679198;2.62494117647059;0.910912352650054;1.18002947338012;1.57199954026736
15/10/2008;3.71882845188285;4.50950292397661;3.49122807017544;2.65694117647059;0.824664827715307;1.06519206913227;1.3996653312524
16/10/2008;3.87405857740586;4.51461988304094;3.50187969924812;2.52423529411765;0.858114011316583;1.10627974405793;1.53474542822286
17/10/2008;3.84314272431427;4.46198830409357;3.48997493734336;2.45756862745098;0.861307216065191;1.10119493500998;1.56379874050574
20/10/2008;4.07740585774059;4.47880116959064;3.52380952380952;2.50007843137255;0.910378849908458;1.15710166233179;1.63091117725538
21/10/2008;3.94937238493724;4.5453216374269;3.57017543859649;2.42086274509804;0.868887330748495;1.10621241248856;1.63139045901477
22/10/2008;3.71678289167829;4.57309941520468;3.59398496240602;2.29160784313726;0.81274920009845;1.03416762467199;1.62191053011494
23/10/2008;3.76782891678289;4.65570175438596;3.61215538847118;2.26337254901961;0.809293446091851;1.04309712943374;1.66469674575445
24/10/2008;3.5652719665272;4.61622807017544;3.58959899749374;2.30509803921569;0.772334449756011;0.993222911254566;1.5466899480511
27/10/2008;3.43640167364017;4.63084795321637;3.58959899749374;2.29270588235294;0.742067480590331;0.957321883597435;1.49884104197154
28/10/2008;3.86457461645746;4.59283625730994;3.56578947368421;2.34337254901961;0.841435313594431;1.08379214336076;1.64915075841196
29/10/2008;3.8164109716411;4.54020467836257;3.55639097744361;2.3684705882353;0.840581260538564;1.07311344445722;1.61133982013458
30/10/2008;3.95843793584379;4.51169590643275;3.54135338345865;2.31570196078431;0.877372504250536;1.11777546808328;1.70939006956798
31/10/2008;3.98233379823338;4.46491228070175;3.52568922305765;2.27309803921569;0.891917589388223;1.12951923617922;1.7519410643667
03/11/2008;3.99135285913529;4.48172514619883;3.54824561403509;2.26964705882353;0.890584033811299;1.12488065745716;1.75857864931837
04/11/2008;4.13012552301255;4.55336257309942;3.58959899749374;2.39450980392157;0.907049561001953;1.15058131169978;1.72483132716705
05/11/2008;3.9440260344026;4.60307017543859;3.60025062656642;2.32266666666667;0.856825093705378;1.0954865212159;1.69805942927781
06/11/2008;3.72375639237564;4.60964912280702;3.60025062656642;2.29913725490196;0.807817752104325;1.03430476892299;1.61963205303914
07/11/2008;3.85430032543003;4.59283625730994;3.58771929824561;2.31105882352941;0.839198288268071;1.07430375818832;1.66776383456298
10/11/2008;3.79377033937704;4.64327485380117;3.60275689223058;2.34101960784314;0.81704625696911;1.05301868898187;1.62056324802523
11/11/2008;3.67642956764296;4.67470760233918;3.6171679197995;2.29552941176471;0.786451235111113;1.01638343841298;1.60156064601092
12/11/2008;3.51380753138075;4.66081871345029;3.63784461152882;2.23466666666667;0.753903497949948;0.965903689301357;1.57240790485416
13/11/2008;3.73695955369596;4.61842105263158;3.6296992481203;2.31058823529412;0.809142239546703;1.02955074187791;1.61731956244479
14/11/2008;3.54672245467225;4.67909356725146;3.64598997493734;2.3281568627451;0.757993488203661;0.972773507072848;1.52340356074219
17/11/2008;3.50353324035333;4.68932748538011;3.66228070175439;2.3150431372549;0.747129146189143;0.956653387785099;1.51337708743851
18/11/2008;3.56731752673175;4.74269005847953;3.69423558897243;2.31576470588235;0.75217175964381;0.965644296584782;1.54044904375228
19/11/2008;3.34500232450023;4.8187134502924;3.71867167919799;2.30447058823529;0.694169171710607;0.899515368138563;1.45152745345375
20/11/2008;3.08070664807066;4.96418128654971;3.76441102756892;2.3374431372549;0.620587055597212;0.818376799321035;1.31798142978086
21/11/2008;3.2606229660623;4.98464912280702;3.75689223057644;2.51105882352941;0.654132895963224;0.867904311847136;1.29850521043523
24/11/2008;3.49116689911669;4.94444444444444;3.72305764411028;2.57772549019608;0.706078698697757;0.937714973239689;1.35435945852059
25/11/2008;3.51255230125523;5.00877192982456;3.7781954887218;2.5758431372549;0.701280144208575;0.929690459834718;1.36365147801608
26/11/2008;3.64844258484426;5.05409356725146;3.81516290726817;2.55027450980392;0.721878717973235;0.956300601972645;1.43060779175681
27/11/2008;3.64844258484426;5.05409356725146;3.81516290726817;2.55946666666667;0.721878717973235;0.956300601972645;1.42546985759179
28/11/2008;3.68591352859135;5.07383040935672;3.83208020050126;2.56643137254902;0.726455799901019;0.961857094773021;1.43620186692561
01/12/2008;3.35857740585774;5.19517543859649;3.8922305764411;2.41239215686275;0.646480074745095;0.862892714061325;1.39221867236771
02/12/2008;3.49530450953045;5.21783625730994;3.90538847117794;2.45443137254902;0.669876235505416;0.894995346897257;1.42407913646428
03/12/2008;3.57554625755463;5.24780701754386;3.92731829573935;2.42807843137255;0.681341033616761;0.910429455497318;1.47258268569744
04/12/2008;3.48912133891214;5.32602339181287;3.94862155388471;2.40627450980392;0.655108151472934;0.883630221660389;1.4500096828921
05/12/2008;3.59163179916318;5.31286549707602;3.91729323308271;2.37317647058824;0.676025357905233;0.916865699210562;1.51342803355577
08/12/2008;3.72459321245932;5.31652046783625;3.90789473684211;2.4241568627451;0.700569711899403;0.9530945594172;1.53644892774868
09/12/2008;3.66155276615528;5.3516081871345;3.92606516290727;2.43749019607843;0.684196719587546;0.932626590294258;1.5021815357642
10/12/2008;3.68754067875407;5.32894736842105;3.90852130325814;2.54305882352941;0.691982942185949;0.943461834448781;1.45004144010962
11/12/2008;3.6022780102278;5.35453216374269;3.94611528822055;2.57678431372549;0.672753080954489;0.912866894938642;1.39797420802351
12/12/2008;3.64714086471409;5.36988304093567;3.95802005012531;2.57992156862745;0.679184413684845;0.921455884135457;1.4136634652248
15/12/2008;3.59321245932125;5.38523391812865;3.96992481203007;2.63043137254902;0.667234239765368;0.905108441457814;1.36601642484185
16/12/2008;3.76001859600186;5.47149122807017;4.03070175438597;2.69207843137255;0.687201795501743;0.932844657114716;1.39669727010324
17/12/2008;3.71966527196653;5.55043859649123;4.05952380952381;2.72282352941177;0.67015699882131;0.916281181364188;1.36610589404232
18/12/2008;3.67638307763831;5.63157894736842;4.07393483709273;2.67579607843137;0.652815686683438;0.902415778515955;1.37393993035281
19/12/2008;3.6302649930265;5.60818713450292;4.04197994987469;2.62989803921569;0.64731523858971;0.898140277301239;1.38038240984778
22/12/2008;3.58907484890749;5.60380116959064;4.04010025062657;2.66054901960784;0.640471483603632;0.888362819301542;1.34899782806351
23/12/2008;3.53677359367736;5.61622807017544;4.04699248120301;2.63592156862745;0.629741803481795;0.873926405869185;1.34175979883916
